Group Report - Group PM25,,,,,,
,,,,,,
Date,Time,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Hyderabad,US Consulate-Mumbai,US Embassy-New Delhi
,,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_HYD,PM2.5_Mum,PM2.5_Delhi
,,?g/m3,?g/m3,?g/m3,?g/m3,?g/m3
9/3/2016,1:00 PM,InVld,86,42,46,51
9/3/2016,2:00 PM,InVld,96,48,40,26
9/3/2016,3:00 PM,InVld,93,54,40,24
9/3/2016,4:00 PM,23,97,52,50,14
9/3/2016,5:00 PM,23,91,45,41,19
9/3/2016,6:00 PM,21,86,56,47,21
9/3/2016,7:00 PM,27,75,69,57,29
9/3/2016,8:00 PM,26,81,62,67,39
9/3/2016,9:00 PM,23,83,86,62,77
9/3/2016,10:00 PM,24,76,81,69,72
9/3/2016,11:00 PM,20,76,82,81,88
09/03/2016 24:00 AM,,20,64,73,87,145
10/3/2016,1:00 AM,17,56,70,91,117
10/3/2016,2:00 AM,19,54,60,68,139
10/3/2016,3:00 AM,18,52,60,52,250
10/3/2016,4:00 AM,16,50,71,37,267
10/3/2016,5:00 AM,17,46,56,33,245
10/3/2016,6:00 AM,22,57,68,84,377
10/3/2016,7:00 AM,27,55,71,94,387
10/3/2016,8:00 AM,44,61,90,131,424
10/3/2016,9:00 AM,30,58,85,112,265
10/3/2016,10:00 AM,30,74,62,75,133
10/3/2016,11:00 AM,19,84,59,57,85
10/3/2016,12:00 PM,27,80,57,61,64
10/3/2016,1:00 PM,19,79,49,52,56
10/3/2016,2:00 PM,---,86,34,55,40
10/3/2016,3:00 PM,---,82,34,68,36
10/3/2016,4:00 PM,---,85,34,76,33
10/3/2016,5:00 PM,24,94,32,80,38
10/3/2016,6:00 PM,InVld,92,45,85,32
10/3/2016,7:00 PM,27,114,51,83,44
10/3/2016,8:00 PM,22,119,49,75,58
10/3/2016,9:00 PM,25,126,66,68,83
10/3/2016,10:00 PM,25,143,59,84,87
10/3/2016,11:00 PM,23,104,52,101,106
10/03/2016 24:00 AM,,18,96,47,108,107
11/3/2016,1:00 AM,16,69,42,---,113
11/3/2016,2:00 AM,18,74,45,---,115
11/3/2016,3:00 AM,20,67,45,---,121
11/3/2016,4:00 AM,16,74,45,---,146
11/3/2016,5:00 AM,13,80,47,---,154
11/3/2016,6:00 AM,14,72,48,---,160
11/3/2016,7:00 AM,46,88,62,---,171
11/3/2016,8:00 AM,87,84,101,---,179
11/3/2016,9:00 AM,53,101,77,InVld,197
11/3/2016,10:00 AM,29,111,92,InVld,107
11/3/2016,11:00 AM,27,95,70,106,74
11/3/2016,12:00 PM,23,116,60,94,44
11/3/2016,1:00 PM,19,107,60,108,23
11/3/2016,2:00 PM,24,108,64,96,26
11/3/2016,3:00 PM,11,97,68,66,35
11/3/2016,4:00 PM,15,101,61,88,34
11/3/2016,5:00 PM,22,98,59,94,37
11/3/2016,6:00 PM,19,111,63,80,29
11/3/2016,7:00 PM,25,123,64,88,45
11/3/2016,8:00 PM,24,128,67,89,77
11/3/2016,9:00 PM,21,142,75,73,80
11/3/2016,10:00 PM,17,124,67,63,51
11/3/2016,11:00 PM,23,134,82,68,41
11/03/2016 24:00 AM,,22,133,72,49,42
12/3/2016,1:00 AM,16,109,69,38,42
12/3/2016,2:00 AM,18,103,58,46,31
12/3/2016,3:00 AM,12,101,60,37,31
12/3/2016,4:00 AM,21,110,53,44,41
12/3/2016,5:00 AM,19,99,52,43,79
12/3/2016,6:00 AM,30,101,46,45,72
12/3/2016,7:00 AM,32,99,51,65,50
12/3/2016,8:00 AM,33,102,64,73,60
12/3/2016,9:00 AM,24,99,76,42,67
12/3/2016,10:00 AM,26,93,94,47,63
12/3/2016,11:00 AM,20,60,67,56,68
12/3/2016,12:00 PM,18,73,52,42,35
12/3/2016,1:00 PM,15,74,48,40,15
12/3/2016,2:00 PM,15,71,49,41,8
12/3/2016,3:00 PM,16,65,55,34,12
12/3/2016,4:00 PM,13,77,52,28,9
12/3/2016,5:00 PM,9,74,53,28,6
12/3/2016,6:00 PM,20,94,62,27,12
12/3/2016,7:00 PM,18,102,58,26,31
12/3/2016,8:00 PM,21,75,64,33,16
12/3/2016,9:00 PM,11,63,67,31,14
12/3/2016,10:00 PM,11,59,52,31,31
12/3/2016,11:00 PM,10,67,40,26,26
12/03/2016 24:00 AM,,10,55,35,16,29
13/03/2016,1:00 AM,8,54,32,16,11
13/03/2016,2:00 AM,9,48,43,13,6
13/03/2016,3:00 AM,9,57,48,16,2
13/03/2016,4:00 AM,15,56,43,11,3
13/03/2016,5:00 AM,8,63,42,13,10
13/03/2016,6:00 AM,18,71,44,10,8
13/03/2016,7:00 AM,37,99,61,20,4
13/03/2016,8:00 AM,23,66,73,20,7
13/03/2016,9:00 AM,19,49,75,18,12
13/03/2016,10:00 AM,21,41,85,38,46
13/03/2016,11:00 AM,15,41,67,15,45
13/03/2016,12:00 PM,12,41,63,19,53
13/03/2016,1:00 PM,13,40,76,23,21
13/03/2016,2:00 PM,11,52,57,19,30
13/03/2016,3:00 PM,20,53,51,27,21
13/03/2016,4:00 PM,11,53,45,22,19
13/03/2016,5:00 PM,7,54,48,18,19
13/03/2016,6:00 PM,14,54,59,22,26
13/03/2016,7:00 PM,14,64,63,26,27
13/03/2016,8:00 PM,12,75,86,30,37
13/03/2016,9:00 PM,10,107,81,22,40
13/03/2016,10:00 PM,12,115,67,26,59
13/03/2016,11:00 PM,17,108,51,20,70
13/03/2016 24:00 AM,,19,125,54,21,70
14/03/2016,1:00 AM,11,117,62,17,79
14/03/2016,2:00 AM,11,116,57,30,78
14/03/2016,3:00 AM,13,112,54,36,48
14/03/2016,4:00 AM,15,140,60,35,29
14/03/2016,5:00 AM,16,137,55,50,39
14/03/2016,6:00 AM,15,141,51,58,54
14/03/2016,7:00 AM,27,148,57,59,38
14/03/2016,8:00 AM,27,99,56,70,26
14/03/2016,9:00 AM,15,80,55,48,7
14/03/2016,10:00 AM,15,60,62,19,11
14/03/2016,11:00 AM,27,63,57,31,20
14/03/2016,12:00 PM,12,65,65,27,22
14/03/2016,1:00 PM,18,62,63,22,26
14/03/2016,2:00 PM,16,55,61,24,16
14/03/2016,3:00 PM,15,65,61,26,14
14/03/2016,4:00 PM,18,49,66,InVld,16
14/03/2016,5:00 PM,13,56,76,22,15
14/03/2016,6:00 PM,22,56,68,42,19
14/03/2016,7:00 PM,16,79,65,24,24
14/03/2016,8:00 PM,17,97,58,29,38
14/03/2016,9:00 PM,25,128,48,30,45
14/03/2016,10:00 PM,15,127,39,30,51
14/03/2016,11:00 PM,20,122,39,29,51
14/03/2016 24:00 AM,,21,125,38,34,58
15/03/2016,1:00 AM,18,92,30,31,70
15/03/2016,2:00 AM,17,87,34,32,64
15/03/2016,3:00 AM,12,108,33,23,57
15/03/2016,4:00 AM,15,128,34,28,69
15/03/2016,5:00 AM,14,95,31,27,81
15/03/2016,6:00 AM,16,108,43,26,88
15/03/2016,7:00 AM,21,138,35,32,114
15/03/2016,8:00 AM,34,118,50,45,128
15/03/2016,9:00 AM,19,95,40,33,191
15/03/2016,10:00 AM,11,94,38,44,92
15/03/2016,11:00 AM,20,83,46,35,115
15/03/2016,12:00 PM,11,61,50,38,89
15/03/2016,1:00 PM,19,53,61,33,77
15/03/2016,2:00 PM,19,46,64,41,52
15/03/2016,3:00 PM,15,46,63,45,18
15/03/2016,4:00 PM,18,60,53,48,18
15/03/2016,5:00 PM,21,61,60,InVld,17
15/03/2016,6:00 PM,12,66,50,InVld,21
15/03/2016,7:00 PM,21,73,58,InVld,15
15/03/2016,8:00 PM,20,80,54,InVld,53
15/03/2016,9:00 PM,20,---,55,InVld,55
15/03/2016,10:00 PM,14,91,46,InVld,83
15/03/2016,11:00 PM,16,79,41,InVld,92
15/03/2016 24:00 AM,,20,79,41,InVld,83
16/03/2016,1:00 AM,20,67,36,InVld,60
16/03/2016,2:00 AM,12,64,43,InVld,50
16/03/2016,3:00 AM,16,69,41,InVld,62
16/03/2016,4:00 AM,14,61,40,InVld,88
16/03/2016,5:00 AM,18,55,47,InVld,96
16/03/2016,6:00 AM,27,56,43,InVld,75
16/03/2016,7:00 AM,38,79,49,InVld,145
16/03/2016,8:00 AM,43,81,57,InVld,282
16/03/2016,9:00 AM,21,93,68,29,195
16/03/2016,10:00 AM,20,80,60,36,94
16/03/2016,11:00 AM,22,72,62,39,53
16/03/2016,12:00 PM,29,75,59,41,39
16/03/2016,1:00 PM,30,65,59,35,29
16/03/2016,2:00 PM,41,64,58,35,23
16/03/2016,3:00 PM,22,60,49,44,29
16/03/2016,4:00 PM,26,67,46,27,18
16/03/2016,5:00 PM,23,69,---,32,25
16/03/2016,6:00 PM,---,70,51,29,26
16/03/2016,7:00 PM,24,82,60,36,35
16/03/2016,8:00 PM,---,---,---,---,---
16/03/2016,9:00 PM,---,---,---,---,---
16/03/2016,10:00 PM,---,---,---,---,---
16/03/2016,11:00 PM,---,---,---,---,---
16/03/2016 24:00 AM,,---,---,---,---,---
17/03/2016,1:00 AM,---,---,---,---,---
17/03/2016,2:00 AM,---,---,---,---,---
17/03/2016,3:00 AM,---,---,---,---,---
17/03/2016,4:00 AM,---,---,---,---,---
17/03/2016,5:00 AM,---,---,---,---,---
17/03/2016,6:00 AM,---,---,---,---,---
17/03/2016,7:00 AM,---,---,---,---,---
17/03/2016,8:00 AM,---,---,---,---,---
17/03/2016,9:00 AM,21,70,78,55,93
17/03/2016,10:00 AM,26,62,69,67,72
17/03/2016,11:00 AM,19,53,65,50,72
17/03/2016,12:00 PM,21,47,57,35,1985
17/03/2016,1:00 PM,16,42,48,38,28
17/03/2016,2:00 PM,16,47,40,39,17
17/03/2016,3:00 PM,27,57,36,43,21
17/03/2016,4:00 PM,23,62,36,40,22
17/03/2016,5:00 PM,25,74,39,37,29
17/03/2016,6:00 PM,43,58,44,41,46
17/03/2016,7:00 PM,21,61,62,42,34
17/03/2016,8:00 PM,18,76,90,45,60
17/03/2016,9:00 PM,28,124,120,46,80
17/03/2016,10:00 PM,---,159,93,50,71
17/03/2016,11:00 PM,---,112,120,53,67
17/03/2016 24:00 AM,,---,90,83,48,69
18/03/2016,1:00 AM,---,94,69,51,65
18/03/2016,2:00 AM,---,108,60,---,70
18/03/2016,3:00 AM,13,123,63,---,81
18/03/2016,4:00 AM,15,122,65,---,70
18/03/2016,5:00 AM,7,133,66,---,80
18/03/2016,6:00 AM,20,139,68,---,102
18/03/2016,7:00 AM,27,135,70,---,110
18/03/2016,8:00 AM,28,122,79,InVld,106
18/03/2016,9:00 AM,28,96,89,69,112
18/03/2016,10:00 AM,27,92,84,37,106
18/03/2016,11:00 AM,10,84,84,45,100
18/03/2016,12:00 PM,24,69,67,44,48
18/03/2016,1:00 PM,16,72,51,43,32
18/03/2016,2:00 PM,10,76,42,32,24
18/03/2016,3:00 PM,10,69,41,34,25
18/03/2016,4:00 PM,12,72,38,38,29
18/03/2016,5:00 PM,11,75,37,33,34
18/03/2016,6:00 PM,18,64,38,43,31
18/03/2016,7:00 PM,20,57,48,46,37
18/03/2016,8:00 PM,18,51,84,50,55
18/03/2016,9:00 PM,21,47,68,66,84
18/03/2016,10:00 PM,19,49,61,50,104
18/03/2016,11:00 PM,---,---,---,---,---
18/03/2016 24:00 AM,,---,---,---,---,---
19/03/2016,1:00 AM,---,---,---,---,---
19/03/2016,2:00 AM,---,---,---,---,---
19/03/2016,3:00 AM,---,---,---,---,---
19/03/2016,4:00 AM,---,---,---,---,---
19/03/2016,5:00 AM,---,---,---,---,---
19/03/2016,6:00 AM,---,---,---,---,---
19/03/2016,7:00 AM,---,---,---,---,---
19/03/2016,8:00 AM,---,---,---,---,---
19/03/2016,9:00 AM,---,---,---,---,---
19/03/2016,10:00 AM,---,---,---,---,---
19/03/2016,11:00 AM,---,---,---,---,---
19/03/2016,12:00 PM,---,---,---,---,---
19/03/2016,1:00 PM,---,---,---,---,---
19/03/2016,2:00 PM,---,---,---,---,---
19/03/2016,3:00 PM,---,---,---,---,---
19/03/2016,4:00 PM,---,---,---,---,---
19/03/2016,5:00 PM,---,---,---,---,---
19/03/2016,6:00 PM,---,---,---,---,---
19/03/2016,7:00 PM,---,---,---,---,---
19/03/2016,8:00 PM,---,---,---,---,---
19/03/2016,9:00 PM,---,---,---,---,---
19/03/2016,10:00 PM,---,---,---,---,---
19/03/2016,11:00 PM,---,---,---,---,---
19/03/2016 24:00 AM,,---,---,---,---,---
20/03/2016,1:00 AM,---,---,---,---,---
20/03/2016,2:00 AM,---,---,---,---,---
20/03/2016,3:00 AM,---,---,---,---,---
20/03/2016,4:00 AM,---,---,---,---,---
20/03/2016,5:00 AM,---,---,---,---,---
20/03/2016,6:00 AM,---,---,---,---,---
20/03/2016,7:00 AM,---,---,---,---,---
20/03/2016,8:00 AM,---,---,---,---,---
20/03/2016,9:00 AM,---,---,---,---,---
20/03/2016,10:00 AM,---,---,---,---,---
20/03/2016,11:00 AM,---,---,---,---,---
20/03/2016,12:00 PM,---,---,---,---,---
20/03/2016,1:00 PM,---,---,---,---,---
20/03/2016,2:00 PM,---,---,---,---,---
20/03/2016,3:00 PM,---,---,---,---,---
20/03/2016,4:00 PM,---,---,---,---,---
20/03/2016,5:00 PM,---,---,---,---,---
20/03/2016,6:00 PM,---,---,---,---,---
20/03/2016,7:00 PM,---,---,---,---,---
20/03/2016,8:00 PM,---,---,---,---,---
20/03/2016,9:00 PM,---,---,---,---,---
20/03/2016,10:00 PM,---,---,---,---,---
20/03/2016,11:00 PM,---,---,---,---,---
20/03/2016 24:00 AM,,---,---,---,---,---
21/03/2016,1:00 AM,---,---,---,---,---
21/03/2016,2:00 AM,---,---,---,---,---
21/03/2016,3:00 AM,---,---,---,---,---
21/03/2016,4:00 AM,---,---,---,---,---
21/03/2016,5:00 AM,---,---,---,---,---
21/03/2016,6:00 AM,---,---,---,---,---
21/03/2016,7:00 AM,---,---,---,---,---
21/03/2016,8:00 AM,---,---,---,---,---
21/03/2016,9:00 AM,33,55,76,191,110
21/03/2016,10:00 AM,35,57,62,78,55
21/03/2016,11:00 AM,28,65,52,69,33
21/03/2016,12:00 PM,28,75,46,58,17
21/03/2016,1:00 PM,19,72,50,55,18
21/03/2016,2:00 PM,23,59,57,56,9
21/03/2016,3:00 PM,26,54,50,39,10
21/03/2016,4:00 PM,19,59,53,38,8
21/03/2016,5:00 PM,27,58,45,40,13
21/03/2016,6:00 PM,22,70,44,37,16
21/03/2016,7:00 PM,28,78,60,43,23
21/03/2016,8:00 PM,24,91,81,48,26
21/03/2016,9:00 PM,27,83,98,46,31
21/03/2016,10:00 PM,20,78,91,41,30
21/03/2016,11:00 PM,22,70,74,38,48
21/03/2016 24:00 AM,,26,60,86,28,28
22/03/2016,1:00 AM,20,60,84,29,19
22/03/2016,2:00 AM,22,71,96,34,25
22/03/2016,3:00 AM,23,78,110,38,30
22/03/2016,4:00 AM,15,87,117,36,36
22/03/2016,5:00 AM,20,83,111,36,27
22/03/2016,6:00 AM,26,90,139,323,24
22/03/2016,7:00 AM,37,100,136,238,34
22/03/2016,8:00 AM,40,91,137,502,46
22/03/2016,9:00 AM,30,89,100,InVld,50
22/03/2016,10:00 AM,28,78,62,122,42
22/03/2016,11:00 AM,40,73,44,103,28
22/03/2016,12:00 PM,35,---,48,54,17
22/03/2016,1:00 PM,30,53,41,43,14
22/03/2016,2:00 PM,35,58,42,53,11
22/03/2016,3:00 PM,32,71,48,42,7
22/03/2016,4:00 PM,34,74,47,48,3
22/03/2016,5:00 PM,38,48,38,45,3
22/03/2016,6:00 PM,38,44,51,54,9
22/03/2016,7:00 PM,38,57,50,55,11
22/03/2016,8:00 PM,37,71,75,57,24
22/03/2016,9:00 PM,39,94,109,63,26
22/03/2016,10:00 PM,39,92,90,78,40
22/03/2016,11:00 PM,30,66,84,82,50
22/03/2016 24:00 AM,,34,85,110,85,50
23/03/2016,1:00 AM,33,102,124,112,45
