Group Report - Group All params,,,,,,
,,,,,,
Date,Time,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Hyderabad
,,PM2.5_Delhi,PM2.5_Chennai,PM2.5_Kolkata,PM2.5_Mum,PM2.5_HYD
,,µg/m3,µg/m3,µg/m3,µg/m3,µg/m3
22/03/2015,3:00 AM,74,44,119,InVld,61
22/03/2015,4:00 AM,100,54,99,47,66
22/03/2015,5:00 AM,116,62,111,66,58
22/03/2015,6:00 AM,112,61,118,66,77
22/03/2015,7:00 AM,131,61,140,83,105
22/03/2015,8:00 AM,123,65,141,InVld,112
22/03/2015,9:00 AM,84,58,121,InVld,109
22/03/2015,10:00 AM,86,56,113,111,83
22/03/2015,11:00 AM,53,58,68,InVld,68
22/03/2015,12:00 PM,43,54,51,InVld,63
22/03/2015,1:00 PM,31,39,57,InVld,61
22/03/2015,2:00 PM,27,29,InVld,InVld,66
22/03/2015,3:00 PM,27,36,37,InVld,58
22/03/2015,4:00 PM,29,41,InVld,InVld,56
22/03/2015,5:00 PM,24,31,InVld,InVld,61
22/03/2015,6:00 PM,29,43,InVld,InVld,56
22/03/2015,7:00 PM,23,41,InVld,InVld,74
22/03/2015,8:00 PM,33,47,InVld,InVld,97
22/03/2015,9:00 PM,48,43,111,InVld,96
22/03/2015,10:00 PM,72,49,156,InVld,91
22/03/2015,11:00 PM,84,51,129,InVld,89
22/03/2015 24:00 AM,,81,41,111,InVld,97
23/03/2015,1:00 AM,64,41,177,InVld,100
23/03/2015,2:00 AM,67,42,114,InVld,88
23/03/2015,3:00 AM,70,31,127,InVld,101
23/03/2015,4:00 AM,79,38,125,InVld,96
23/03/2015,5:00 AM,74,46,124,InVld,138
23/03/2015,6:00 AM,75,50,134,InVld,126
23/03/2015,7:00 AM,81,70,131,InVld,120
23/03/2015,8:00 AM,113,62,117,InVld,128
23/03/2015,9:00 AM,96,47,92,---,125
23/03/2015,10:00 AM,73,41,84,---,124
23/03/2015,11:00 AM,67,45,63,---,77
23/03/2015,12:00 PM,52,41,62,---,61
23/03/2015,1:00 PM,46,44,InVld,InVld,37
23/03/2015,2:00 PM,29,---,InVld,24,51
23/03/2015,3:00 PM,22,38,InVld,---,47
23/03/2015,4:00 PM,16,---,InVld,53,51
23/03/2015,5:00 PM,12,---,InVld,50,56
23/03/2015,6:00 PM,16,27,---,8,53
23/03/2015,7:00 PM,22,44,---,55,64
23/03/2015,8:00 PM,33,44,---,46,98
23/03/2015,9:00 PM,51,40,---,59,112
23/03/2015,10:00 PM,75,37,---,54,94
23/03/2015,11:00 PM,87,39,---,70,88
23/03/2015 24:00 AM,,88,40,---,70,96
24/03/2015,1:00 AM,92,45,---,56,115
24/03/2015,2:00 AM,104,42,---,59,126
24/03/2015,3:00 AM,93,48,---,73,128
24/03/2015,4:00 AM,88,49,---,80,117
24/03/2015,5:00 AM,124,58,---,76,124
24/03/2015,6:00 AM,113,52,---,80,127
24/03/2015,7:00 AM,99,62,---,98,172
24/03/2015,8:00 AM,72,65,---,92,180
24/03/2015,9:00 AM,105,51,---,89,180
24/03/2015,10:00 AM,70,38,---,---,111
24/03/2015,11:00 AM,45,43,---,InVld,91
24/03/2015,12:00 PM,24,33,---,InVld,72
24/03/2015,1:00 PM,22,39,---,56,52
24/03/2015,2:00 PM,26,39,---,51,46
24/03/2015,3:00 PM,36,40,---,---,56
24/03/2015,4:00 PM,27,199,---,39,60
24/03/2015,5:00 PM,16,39,---,56,51
24/03/2015,6:00 PM,24,47,InVld,66,60
24/03/2015,7:00 PM,27,46,34,50,60
24/03/2015,8:00 PM,56,48,44,59,64
24/03/2015,9:00 PM,64,46,59,63,74
24/03/2015,10:00 PM,90,45,55,67,76
24/03/2015,11:00 PM,95,43,50,66,89
24/03/2015 24:00 AM,,98,40,55,44,117
25/03/2015,1:00 AM,93,42,55,39,105
25/03/2015,2:00 AM,105,48,59,37,76
25/03/2015,3:00 AM,113,49,60,34,81
25/03/2015,4:00 AM,119,50,52,42,76
25/03/2015,5:00 AM,124,53,59,42,79
25/03/2015,6:00 AM,128,61,55,69,79
25/03/2015,7:00 AM,150,78,91,76,86
25/03/2015,8:00 AM,195,69,73,98,124
25/03/2015,9:00 AM,180,52,54,104,96
25/03/2015,10:00 AM,103,36,61,80,96
25/03/2015,11:00 AM,83,44,63,76,88
25/03/2015,12:00 PM,85,---,InVld,69,82
25/03/2015,1:00 PM,58,45,InVld,74,68
25/03/2015,2:00 PM,59,41,InVld,68,63
25/03/2015,3:00 PM,68,45,InVld,72,50
25/03/2015,4:00 PM,79,46,InVld,73,67
25/03/2015,5:00 PM,49,46,InVld,65,64
25/03/2015,6:00 PM,44,47,InVld,67,74
25/03/2015,7:00 PM,49,54,58,80,68
25/03/2015,8:00 PM,81,56,61,95,80
25/03/2015,9:00 PM,90,57,61,86,73
25/03/2015,10:00 PM,120,50,44,82,65
25/03/2015,11:00 PM,128,47,64,65,60
25/03/2015 24:00 AM,,130,45,56,58,61
26/03/2015,1:00 AM,126,51,54,61,67
26/03/2015,2:00 AM,141,47,44,58,72
26/03/2015,3:00 AM,158,51,45,74,66
26/03/2015,4:00 AM,162,42,InVld,69,60
26/03/2015,5:00 AM,161,49,41,100,56
26/03/2015,6:00 AM,186,46,InVld,700,62
26/03/2015,7:00 AM,188,54,47,183,65
26/03/2015,8:00 AM,215,38,46,833,74
26/03/2015,9:00 AM,196,27,InVld,InVld,76
26/03/2015,10:00 AM,127,25,InVld,57,66
26/03/2015,11:00 AM,100,36,InVld,75,69
26/03/2015,12:00 PM,88,29,InVld,65,56
26/03/2015,1:00 PM,85,28,49,58,46
26/03/2015,2:00 PM,79,29,41,43,59
26/03/2015,3:00 PM,70,36,39,46,50
26/03/2015,4:00 PM,77,34,38,44,39
26/03/2015,5:00 PM,64,31,42,32,45
26/03/2015,6:00 PM,55,33,43,32,59
26/03/2015,7:00 PM,43,36,38,41,57
26/03/2015,8:00 PM,82,35,51,41,72
26/03/2015,9:00 PM,89,31,47,41,65
26/03/2015,10:00 PM,80,30,45,34,64
26/03/2015,11:00 PM,41,27,41,---,59
26/03/2015 24:00 AM,,21,29,45,64,50
27/03/2015,1:00 AM,14,24,45,80,40
27/03/2015,2:00 AM,11,28,48,59,49
27/03/2015,3:00 AM,22,29,48,542,55
27/03/2015,4:00 AM,24,---,39,InVld,62
27/03/2015,5:00 AM,24,28,42,106,49
27/03/2015,6:00 AM,42,29,41,---,53
27/03/2015,7:00 AM,33,44,57,42,59
27/03/2015,8:00 AM,52,80,52,44,62
27/03/2015,9:00 AM,65,59,40,79,55
27/03/2015,10:00 AM,55,32,50,72,59
27/03/2015,11:00 AM,48,27,55,72,47
27/03/2015,12:00 PM,36,35,54,59,53
27/03/2015,1:00 PM,33,26,49,71,45
27/03/2015,2:00 PM,32,26,56,68,54
27/03/2015,3:00 PM,23,31,50,57,53
27/03/2015,4:00 PM,18,31,---,45,58
27/03/2015,5:00 PM,18,---,45,61,53
27/03/2015,6:00 PM,20,29,52,181,66
27/03/2015,7:00 PM,32,38,48,81,65
27/03/2015,8:00 PM,55,35,48,39,68
27/03/2015,9:00 PM,71,29,55,57,63
27/03/2015,10:00 PM,80,34,59,46,59
27/03/2015,11:00 PM,101,30,64,38,50
27/03/2015 24:00 AM,,121,28,60,90,53
28/03/2015,1:00 AM,86,32,58,932,49
28/03/2015,2:00 AM,86,32,56,65,50
28/03/2015,3:00 AM,87,29,48,424,48
28/03/2015,4:00 AM,89,32,40,25,48
28/03/2015,5:00 AM,99,26,48,28,43
28/03/2015,6:00 AM,99,60,47,67,59
28/03/2015,7:00 AM,105,69,47,55,71
28/03/2015,8:00 AM,129,72,53,150,61
28/03/2015,9:00 AM,78,60,47,146,62
28/03/2015,10:00 AM,69,20,44,51,---
28/03/2015,11:00 AM,70,21,44,59,---
28/03/2015,12:00 PM,90,30,44,81,---
28/03/2015,1:00 PM,46,54,43,62,---
28/03/2015,2:00 PM,41,37,33,60,InVld
28/03/2015,3:00 PM,41,26,33,---,49
28/03/2015,4:00 PM,33,28,39,49,38
28/03/2015,5:00 PM,27,27,42,42,45
28/03/2015,6:00 PM,35,31,42,39,43
28/03/2015,7:00 PM,51,36,38,48,47
28/03/2015,8:00 PM,112,24,43,53,63
28/03/2015,9:00 PM,128,24,33,55,53
28/03/2015,10:00 PM,158,26,40,56,61
28/03/2015,11:00 PM,141,22,40,52,48
28/03/2015 24:00 AM,,126,25,37,36,60
29/03/2015,1:00 AM,127,19,40,27,55
29/03/2015,2:00 AM,139,24,37,35,63
29/03/2015,3:00 AM,147,21,36,49,42
29/03/2015,4:00 AM,147,22,30,38,47
29/03/2015,5:00 AM,134,28,35,51,49
29/03/2015,6:00 AM,113,37,45,51,51
29/03/2015,7:00 AM,146,40,46,48,48
29/03/2015,8:00 AM,165,54,48,38,58
29/03/2015,9:00 AM,145,47,44,55,81
29/03/2015,10:00 AM,160,29,31,42,60
29/03/2015,11:00 AM,110,18,36,58,65
29/03/2015,12:00 PM,86,15,36,52,60
29/03/2015,1:00 PM,71,16,53,58,43
29/03/2015,2:00 PM,47,18,47,61,40
29/03/2015,3:00 PM,55,15,41,62,48
29/03/2015,4:00 PM,59,17,46,39,50
29/03/2015,5:00 PM,58,17,33,44,50
29/03/2015,6:00 PM,54,25,32,44,51
29/03/2015,7:00 PM,57,25,33,41,54
29/03/2015,8:00 PM,55,22,31,53,58
29/03/2015,9:00 PM,56,23,28,60,59
29/03/2015,10:00 PM,49,24,28,62,51
29/03/2015,11:00 PM,77,25,33,47,53
29/03/2015 24:00 AM,,73,19,21,61,49
30/03/2015,1:00 AM,78,21,26,63,43
30/03/2015,2:00 AM,48,22,23,55,35
30/03/2015,3:00 AM,35,20,23,47,27
30/03/2015,4:00 AM,17,---,19,53,32
30/03/2015,5:00 AM,18,24,28,82,30
30/03/2015,6:00 AM,14,29,26,69,32
30/03/2015,7:00 AM,18,42,30,62,---
30/03/2015,8:00 AM,18,44,33,121,---
30/03/2015,9:00 AM,27,17,28,53,57
30/03/2015,10:00 AM,32,14,31,54,55
30/03/2015,11:00 AM,24,25,31,44,63
30/03/2015,12:00 PM,20,21,30,45,51
30/03/2015,1:00 PM,14,11,36,29,59
30/03/2015,2:00 PM,9,23,29,30,47
30/03/2015,3:00 PM,8,17,31,23,48
30/03/2015,4:00 PM,11,---,33,25,52
30/03/2015,5:00 PM,10,27,21,21,43
30/03/2015,6:00 PM,9,16,29,26,52
30/03/2015,7:00 PM,17,24,29,38,46
30/03/2015,8:00 PM,13,22,33,40,57
30/03/2015,9:00 PM,22,26,34,38,64
30/03/2015,10:00 PM,17,---,41,35,57
30/03/2015,11:00 PM,15,19,40,35,57
30/03/2015 24:00 AM,,24,21,34,27,64
31/03/2015,1:00 AM,29,18,35,32,73
31/03/2015,2:00 AM,29,19,30,34,77
31/03/2015,3:00 AM,24,22,28,48,72
31/03/2015,4:00 AM,28,16,44,19,55
31/03/2015,5:00 AM,28,19,53,34,52
31/03/2015,6:00 AM,46,27,62,35,55
31/03/2015,7:00 AM,45,31,52,26,67
31/03/2015,8:00 AM,40,11,64,51,47
31/03/2015,9:00 AM,43,16,77,43,47
31/03/2015,10:00 AM,44,---,73,48,41
31/03/2015,11:00 AM,43,16,68,20,29
31/03/2015,12:00 PM,40,16,68,14,35
31/03/2015,1:00 PM,48,6,60,20,37
31/03/2015,2:00 PM,51,17,57,20,39
31/03/2015,3:00 PM,33,18,61,9,33
31/03/2015,4:00 PM,41,8,61,14,32
31/03/2015,5:00 PM,38,18,56,10,42
31/03/2015,6:00 PM,52,124,57,18,43
31/03/2015,7:00 PM,42,33,80,17,47
31/03/2015,8:00 PM,54,32,94,39,44
31/03/2015,9:00 PM,72,14,110,31,52
31/03/2015,10:00 PM,80,21,104,43,48
31/03/2015,11:00 PM,90,12,109,24,44
31/03/2015 24:00 AM,,94,13,97,24,46
1/4/2015,1:00 AM,96,13,80,42,41
1/4/2015,2:00 AM,94,17,65,50,29
1/4/2015,3:00 AM,100,13,55,42,38
1/4/2015,4:00 AM,100,13,41,37,28
1/4/2015,5:00 AM,123,23,44,39,40
1/4/2015,6:00 AM,147,29,35,28,44
1/4/2015,7:00 AM,165,30,38,74,46
1/4/2015,8:00 AM,215,34,40,101,66
1/4/2015,9:00 AM,79,17,39,72,53
1/4/2015,10:00 AM,48,9,39,38,61
1/4/2015,11:00 AM,35,12,35,15,50
