"AIR QUALITY REPORT-US EMBASSY, NEW DELHI and CONSULATES ( YR 2013)",,,,,,,,,,,,
Date,Time,US Embassy-New Delhi,US Embassy-New Delhi,US Consulate-Chennai,US Consulate-Chennai,US Consulate-Kolkata,US Consulate-Kolkata,US Consulate-Mumbai,US Consulate-Mumbai,US Consulate-Hyderabad,US Consulate-Hyderabad,
,,PM2.5_Delhi,PM2.5_Delhi_AQI,PM2.5_Chennai,PM2.5_CHN_AQI,PM2.5_Kolkata,PM2.5_KOL_AQI,PM2.5_Mum,PM2.5_MUM_AQI,PM2.5_HYD,PM2.5_HYD_AQI,
,,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,µg/m3,µg/m3,ug/m3,µg/m3,ug/m3,
9/1/2013,9:00 AM,245.3,265,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,10:00 AM,274.8,267,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,11:00 AM,256.8,268,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,12:00 PM,235.4,268,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,1:00 PM,172.5,268,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,2:00 PM,148.4,266,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,3:00 PM,98.5,265,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,4:00 PM,77.5,263,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,5:00 PM,71.1,260,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,6:00 PM,75.2,258,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,7:00 PM,109,255,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,8:00 PM,167.3,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,9:00 PM,242.2,251,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,10:00 PM,294,251,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
9/1/2013,11:00 PM,238.8,253,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
09/01/2013 24:00 AM,,221.3,252,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,1:00 AM,210.9,250,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,2:00 AM,207.1,249,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,3:00 AM,180,247,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,4:00 AM,167.7,244,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,5:00 AM,164.5,241,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,6:00 AM,171.1,239,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,7:00 AM,172.2,237,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,8:00 AM,176.3,234,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,9:00 AM,195.8,232,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,10:00 AM,204.9,230,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,11:00 AM,188.5,227,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,12:00 PM,164.4,224,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,1:00 PM,127.2,221,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,2:00 PM,114.5,219,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,3:00 PM,92.4,218,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,4:00 PM,82.2,218,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
10/1/2013,5:00 PM,57.6,218,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,
